TradeID,EntryTime,OptionType,Delta,ShortStrike,LongStrike,Width,Premium,ProfitTarget,ProfitDateTime,ProfitPrice,StopLossDateTime,StopLossTarget,StopLossPrice,IsWin,Outcome,ProfitLoss,ProfitLossAfterSlippage,CommissionFees,Slippage,LossMultiple,TradesToday,VIX,OpenDate,OpenTime,CloseDate,CloseTime
5015667,2023-01-03 09:33:00,P,0.0,3825.0,3770.0,55.0,4.7,P100,,,1/3/2023 10:18:00 AM,2x,14.1,False,Stop Loss,-9.4,-9.4,0,0,2.0,26,23.09,2023-01-03,09:33:00,2023-01-03,10:18:00
5016231,2023-01-03 09:45:00,P,0.0,3840.0,3785.0,55.0,4.1,P100,,,1/3/2023 9:52:00 AM,2x,12.3,False,Stop Loss,-8.2,-8.2,0,0,2.0,0,23.09,2023-01-03,09:45:00,2023-01-03,09:52:00
5027967,2023-01-03 10:00:00,C,0.0,3860.0,3915.0,55.0,4.45,P100,,,,2x,,True,Expiration,4.45,4.45,0,0,0.0,26,23.09,2023-01-03,10:00:00,,
5028415,2023-01-03 10:15:00,C,0.0,3850.0,3905.0,55.0,4.7,P100,,,,2x,,True,Expiration,4.7,4.7,0,0,0.0,0,23.09,2023-01-03,10:15:00,,
5028871,2023-01-03 10:30:00,C,0.0,3850.0,3905.0,55.0,4.45,P100,,,,2x,,True,Expiration,4.45,4.45,0,0,0.0,0,23.09,2023-01-03,10:30:00,,
5029463,2023-01-03 10:45:00,C,0.0,3850.0,3905.0,55.0,4.25,P100,,,,2x,,True,Expiration,4.25,4.25,0,0,0.0,0,23.09,2023-01-03,10:45:00,,
5018803,2023-01-03 11:00:00,P,0.0,3815.0,3760.0,55.0,4.65,P100,,,1/3/2023 11:14:00 AM,2x,13.95,False,Stop Loss,-9.3,-9.3,0,0,2.0,0,23.09,2023-01-03,11:00:00,2023-01-03,11:14:00
5030591,2023-01-03 11:15:00,C,0.0,3835.0,3890.0,55.0,3.95,P100,,,,2x,,True,Expiration,3.95,3.95,0,0,0.0,0,23.09,2023-01-03,11:15:00,,
5031115,2023-01-03 11:30:00,C,0.0,3835.0,3890.0,55.0,4.05,P100,,,,2x,,True,Expiration,4.05,4.05,0,0,0.0,0,23.09,2023-01-03,11:30:00,,
5031451,2023-01-03 11:45:00,C,0.0,3825.0,3880.0,55.0,4.05,P100,,,,2x,,True,Expiration (ITM),3.54,3.54,0,0,0.0,0,23.09,2023-01-03,11:45:00,,
5031859,2023-01-03 12:00:00,C,0.0,3820.0,3875.0,55.0,4.8,P100,,,,2x,,False,Expiration (ITM),-0.71,-0.71,0,0,0.1,0,23.09,2023-01-03,12:00:00,,
5032343,2023-01-03 12:15:00,C,0.0,3825.0,3880.0,55.0,4.45,P100,,,,2x,,True,Expiration (ITM),3.94,3.94,0,0,0.0,0,23.09,2023-01-03,12:15:00,,
5032855,2023-01-03 12:30:00,C,0.0,3820.0,3875.0,55.0,4.0,P100,,,,2x,,False,Expiration (ITM),-1.51,-1.51,0,0,0.4,0,23.09,2023-01-03,12:30:00,,
5033359,2023-01-03 12:45:00,C,0.0,3815.0,3870.0,55.0,4.7,P100,,,,2x,,False,Expiration (ITM),-5.81,-5.81,0,0,1.2,0,23.09,2023-01-03,12:45:00,,
5033803,2023-01-03 13:00:00,C,0.0,3815.0,3870.0,55.0,4.15,P100,,,1/3/2023 3:15:00 PM,2x,12.45,False,Stop Loss,-8.3,-8.3,0,0,2.0,0,23.09,2023-01-03,13:00:00,2023-01-03,15:15:00
5034119,2023-01-03 13:15:00,C,0.0,3810.0,3865.0,55.0,4.95,P100,,,1/3/2023 2:46:00 PM,2x,14.85,False,Stop Loss,-9.9,-9.9,0,0,2.0,0,23.09,2023-01-03,13:15:00,2023-01-03,14:46:00
5022343,2023-01-03 13:30:00,P,0.0,3800.0,3745.0,55.0,4.95,P100,,,,2x,,True,Expiration,4.95,4.95,0,0,0.0,0,23.09,2023-01-03,13:30:00,,
5022831,2023-01-03 13:45:00,P,0.0,3800.0,3745.0,55.0,4.45,P100,,,,2x,,True,Expiration,4.45,4.45,0,0,0.0,0,23.09,2023-01-03,13:45:00,,
5023155,2023-01-03 14:00:00,P,0.0,3805.0,3750.0,55.0,4.2,P100,,,1/3/2023 2:33:00 PM,2x,12.6,False,Stop Loss,-8.4,-8.4,0,0,2.0,0,23.09,2023-01-03,14:00:00,2023-01-03,14:33:00
5023759,2023-01-03 14:15:00,P,0.0,3800.0,3745.0,55.0,4.1,P100,,,,2x,,True,Expiration,4.1,4.1,0,0,0.0,0,23.09,2023-01-03,14:15:00,,
5035959,2023-01-03 14:30:00,C,0.0,3810.0,3865.0,55.0,4.5,P100,,,1/3/2023 2:45:00 PM,2x,13.5,False,Stop Loss,-9.0,-9.0,0,0,2.0,0,23.09,2023-01-03,14:30:00,2023-01-03,14:45:00
5036175,2023-01-03 14:45:00,C,0.0,3815.0,3870.0,55.0,4.35,P100,,,,2x,,False,Expiration (ITM),-6.16,-6.16,0,0,1.4,0,23.09,2023-01-03,14:45:00,,
5024983,2023-01-03 15:00:00,P,0.0,3810.0,3755.0,55.0,4.2,P100,,,,2x,,True,Expiration,4.2,4.2,0,0,0.0,0,23.09,2023-01-03,15:00:00,,
5025463,2023-01-03 15:15:00,P,0.0,3815.0,3760.0,55.0,3.15,P100,,,,2x,,True,Expiration,3.15,3.15,0,0,0.0,0,23.09,2023-01-03,15:15:00,,
5025639,2023-01-03 15:30:00,P,0.0,3815.0,3760.0,55.0,2.95,P100,,,,2x,,True,Expiration,2.95,2.95,0,0,0.0,0,23.09,2023-01-03,15:30:00,,
5026107,2023-01-03 15:45:00,P,0.0,3820.0,3765.0,55.0,2.8,P100,,,,2x,,True,Expiration,2.8,2.8,0,0,0.0,0,23.09,2023-01-03,15:45:00,,
5048887,2023-01-04 09:33:00,P,0.0,3795.0,3740.0,55.0,4.55,P100,,,,2x,,True,Expiration,4.55,4.55,0,0,0.0,26,22.93,2023-01-04,09:33:00,,
